id,  x,  y, pos, rotation
1, 0,  1,   1, 45
2, 0,  2,   1, 45
3, 0,  3,   1, 45
4, 1,  0,   0, 135
5, 1,  1,   7, 0
6, 1,  2,   5, 270
7, 1,  3,   5, 225
8, 2,  0,   0, 180
9, 2,  1,   1, 90
10, 2,  2,   4, 0
11, 2,  3,   6, 90
12, 2,  3,   4, 135
13, 3,  0,   0, 135
14, 3,  1,   0, 0
15, 3,  2,   5, 270
16, 3,  3,   7, 315
17, 4,  0,   0, 135
18, 4,  1,   2, 45
19, 4,  2,   3	, 135
20, 4,  3,   7, 315
21, 0,  0,   0, 45
22, 5,  0,   3, 135
23, 5,  1,   5, 225
24, 5,  2,   5, 225
25, 5,  3,   5, 225
26, 0,  4,   7, 315  
27, 1,  4,   7, 315
28, 2,  4,   7, 315
29, 3,  4,   5, 270 
30, 5,  2,   2, 180
